calibration_policy,calibration_val_balanced_accuracy,calibration_val_fpr,calibration_val_tpr,encoder_seed,generalization_gap_auroc,generalization_gap_bal_acc,holdout_fpr,linear_c,normalization,readout,test_clean_auroc,test_clean_balanced_accuracy,threshold,train_auroc,train_balanced_accuracy,val_clean_auroc,val_clean_balanced_accuracy,val_moderate_auroc,val_moderate_balanced_accuracy,val_onset_auroc,val_onset_balanced_accuracy,val_recovery_auroc,val_recovery_balanced_accuracy
fpr_constrained,0.6309523809523809,0.0,0.2619047619047619,123,0.4756235827664399,0.015873015873015928,0.051923076923076926,0.01,window_zscore,linear,0.6496598639455782,0.5595238095238095,1.67825000187632,1.0,0.6468253968253969,0.5243764172335601,0.6309523809523809,0.5184240362811792,0.5654761904761905,0.84375,0.5,0.5555555555555556,0.75
best_balanced,0.6309523809523809,0.07142857142857142,0.3333333333333333,223,0.4382086167800453,0.1428571428571429,0.10384615384615385,10.0,window_zscore,linear,0.5663265306122449,0.5,6.656560376882326,1.0,0.7738095238095238,0.5617913832199547,0.6309523809523809,0.5113378684807256,0.5654761904761905,0.90625,0.5625,0.2916666666666667,0.3472222222222222
fpr_constrained,0.6309523809523809,0.07142857142857142,0.3333333333333333,223,0.4382086167800453,0.1428571428571429,0.10384615384615385,10.0,window_zscore,linear,0.5663265306122449,0.5,6.656560376882326,1.0,0.7738095238095238,0.5617913832199547,0.6309523809523809,0.5113378684807256,0.5654761904761905,0.90625,0.5625,0.2916666666666667,0.3472222222222222
fpr_constrained,0.6309523809523809,0.07142857142857142,0.3333333333333333,223,0.23938649533887613,0.0357142857142857,0.10576923076923077,nan,window_zscore,prototype,0.5819160997732425,0.6190476190476191,0.03400000000000003,0.898400100781053,0.6666666666666666,0.6590136054421769,0.6309523809523809,0.5768140589569161,0.5595238095238095,0.8125,0.5,0.4791666666666667,0.4652777777777778
best_balanced,0.6309523809523809,0.19047619047619047,0.4523809523809524,323,0.4217687074829931,0.3412698412698413,0.22884615384615384,0.01,dataset_zscore,linear,0.6910430839002267,0.6666666666666667,0.6571433245179408,1.0,0.9722222222222222,0.5782312925170069,0.6309523809523809,0.6017573696145124,0.5952380952380952,0.765625,0.5,0.125,0.125
fpr_constrained,0.6309523809523809,0.19047619047619047,0.4523809523809524,323,0.4217687074829931,0.3412698412698413,0.22884615384615384,0.01,dataset_zscore,linear,0.6910430839002267,0.6666666666666667,0.6571433245179408,1.0,0.9722222222222222,0.5782312925170069,0.6309523809523809,0.6017573696145124,0.5952380952380952,0.765625,0.5,0.125,0.125
best_balanced,0.6190476190476191,0.0,0.23809523809523808,123,0.4982993197278911,-0.04761904761904767,0.04038461538461539,0.1,window_zscore,linear,0.6060090702947846,0.5595238095238095,3.8643998771644608,1.0,0.5714285714285714,0.5017006802721089,0.6190476190476191,0.5,0.5595238095238095,0.828125,0.5,0.638888888888889,0.6875
fpr_constrained,0.6190476190476191,0.0,0.23809523809523808,123,0.4982993197278911,-0.04761904761904767,0.04038461538461539,0.1,window_zscore,linear,0.6060090702947846,0.5595238095238095,3.8643998771644608,1.0,0.5714285714285714,0.5017006802721089,0.6190476190476191,0.5,0.5595238095238095,0.828125,0.5,0.638888888888889,0.6875
best_balanced,0.6190476190476191,0.0,0.23809523809523808,123,0.503968253968254,-0.05555555555555558,0.04230769230769231,1.0,window_zscore,linear,0.5992063492063492,0.5595238095238095,6.027767878302386,1.0,0.5634920634920635,0.49603174603174605,0.6190476190476191,0.49433106575963726,0.5595238095238095,0.828125,0.5,0.6527777777777778,0.6875
fpr_constrained,0.6190476190476191,0.0,0.23809523809523808,123,0.503968253968254,-0.05555555555555558,0.04230769230769231,1.0,window_zscore,linear,0.5992063492063492,0.5595238095238095,6.027767878302386,1.0,0.5634920634920635,0.49603174603174605,0.6190476190476191,0.49433106575963726,0.5595238095238095,0.828125,0.5,0.6527777777777778,0.6875
best_balanced,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.46712018140589573,0.38095238095238093,0.18846153846153846,0.1,window_zscore,linear,0.6241496598639457,0.5476190476190477,1.6855723663491988,1.0,1.0,0.5328798185941043,0.6190476190476191,0.5272108843537415,0.5535714285714286,0.8125,0.5625,0.4583333333333334,0.47916666666666663
fpr_constrained,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.46712018140589573,0.38095238095238093,0.18846153846153846,0.1,window_zscore,linear,0.6241496598639457,0.5476190476190477,1.6855723663491988,1.0,1.0,0.5328798185941043,0.6190476190476191,0.5272108843537415,0.5535714285714286,0.8125,0.5625,0.4583333333333334,0.47916666666666663
best_balanced,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.4824263038548753,0.38095238095238093,0.21153846153846154,1.0,window_zscore,linear,0.6065759637188209,0.5595238095238095,2.3105475903740413,1.0,1.0,0.5175736961451247,0.6190476190476191,0.5212585034013606,0.5952380952380952,0.8125,0.5,0.48611111111111116,0.47916666666666663
fpr_constrained,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.4824263038548753,0.38095238095238093,0.21153846153846154,1.0,window_zscore,linear,0.6065759637188209,0.5595238095238095,2.3105475903740413,1.0,1.0,0.5175736961451247,0.6190476190476191,0.5212585034013606,0.5952380952380952,0.8125,0.5,0.48611111111111116,0.47916666666666663
